subtitle,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking
San Cristóbal,64.0,2,1.0,85000,1328,multi-storey building,False,False,False,True,False
Los Ángeles,70.0,3,1.0,129900,1856,multi-storey building,True,False,True,True,False
San Andrés,94.0,2,2.0,144247,1535,multi-storey building,False,False,True,True,False
San Andrés,64.0,2,1.0,109900,1717,multi-storey building,False,False,True,True,False
Los Rosales,108.0,2,2.0,260000,2407,multi-storey building,False,False,True,True,True
San Andrés,126.0,4,2.0,195000,1548,multi-storey building,False,False,False,True,True
San Andrés,120.0,5,2.0,190000,1583,multi-storey building,False,False,False,True,True
Villaverde,125.0,3,2.0,198500,1588,multi-storey building,False,False,False,True,False
Villaverde,84.0,3,2.0,212000,2524,multi-storey building,False,False,True,True,True
Los Rosales,85.0,2,1.0,131400,1546,multi-storey building,True,False,False,True,False
San Andrés,69.0,2,2.0,118000,1710,multi-storey building,True,False,False,True,False
Villaverde,122.0,3,2.0,246900,2024,multi-storey building,False,False,True,False,True
Los Rosales,123.0,3,2.0,195000,1585,multi-storey building,False,False,True,True,False
Los Ángeles,109.0,3,2.0,205000,1881,multi-storey building,False,False,True,True,False
San Cristóbal,64.0,3,1.0,72000,1125,multi-storey building,False,False,False,True,False
Los Rosales,115.0,3,1.0,160000,1391,multi-storey building,False,False,False,True,False
Villaverde,115.0,3,1.0,184900,1608,multi-storey building,False,False,False,True,False
Villaverde,65.0,3,1.0,90000,1385,multi-storey building,False,False,False,True,False
Villaverde,75.0,3,1.0,129900,1732,multi-storey building,True,False,True,True,False
Villaverde,60.0,2,1.0,94900,1582,multi-storey building,False,False,False,True,False
Villaverde,60.0,2,1.0,89900,1498,multi-storey building,False,False,False,True,False
Villaverde,95.0,4,2.0,144900,1525,multi-storey building,False,False,False,True,False
Villaverde,76.0,3,1.0,110000,1447,multi-storey building,True,False,False,True,False
San Andrés,51.0,2,1.0,93000,1824,multi-storey building,False,False,False,False,False
San Andrés,134.0,3,2.0,130000,970,multi-storey building,False,False,True,False,False
San Andrés,62.0,2,1.0,104000,1677,multi-storey building,False,False,False,True,False
San Andrés,75.0,3,1.0,138000,1840,multi-storey building,False,False,False,True,True
Villaverde,112.0,4,2.0,280000,2500,multi-storey building,False,False,True,True,True
